Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
65.336632,49205,443,TCP,"FIN,SYN,ACK",4,228,Benign,228,3,1,1,1,0,1,outbound,228,0,0
65.335903,443,49205,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.257117,49205,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.171952,443,49205,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.330157,49206,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.331055,443,49206,TCP,"FIN,SYN,RST,PSH,ACK",6,541,Benign,541,5,1,1,1,0,0,inbound,541,0,0
65.251761,49206,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.171717,443,49206,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
77.94611,49207,443,TCP,"FIN,SYN,ACK",47,2934,Benign,2934,3,1,1,1,0,1,outbound,2934,0,0
77.946298,443,49207,TCP,"FIN,SYN,RST,PSH,ACK",40,52679,Benign,52679,5,1,1,1,0,0,inbound,52679,0,0
77.868,49207,443,TLS,"PSH,ACK",6,1176,Benign,1176,2,0,1,0,0,1,outbound,1176,0,0
77.78805,443,49207,TLS,"PSH,ACK",19,23817,Benign,23817,2,0,1,0,0,0,inbound,23817,0,0
65.45403,49208,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.453126,443,49208,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.372606,49208,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.289617,443,49208,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.337142,49209,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.338622,443,49209,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
